# dist  px py pz    dx dy dz
1 3 4.3696e+00  0.000 0.000 75.900  -3.603 1.581 -1.900
3 5 2.5946e+01  -3.603 1.581 74.000  -21.397 9.387 -11.282
5 1 1.2126e+01  -25.000 10.968 62.718  -10.000 4.387 -5.273
1 1 4.2318e-01  0.000 0.000 75.900  0.381 -0.154 0.100
1 3 6.6227e+00  0.000 0.000 75.900  1.526 -6.250 -1.571
3 5 1.9868e+01  1.526 -6.250 74.329  4.579 -18.750 -4.712
5 1 1.0596e+01  6.106 -25.000 69.617  2.442 -10.000 -2.513
1 1 1.3669e-01  0.000 0.000 75.900  0.091 0.020 0.100
1 3 3.2112e+00  0.000 0.000 75.900  -2.539 -0.504 -1.900
3 5 2.1126e+01  -2.539 -0.504 74.000  -16.705 -3.317 -12.500
5 1 1.9925e+01  -19.245 -3.821 61.500  -15.755 -3.129 -11.789
1 1 1.6366e-01  0.000 0.000 75.900  0.129 -0.014 0.100
1 1 1.8392e-01  0.000 0.000 75.900  -0.148 -0.045 0.100
1 1 1.3507e-01  0.000 0.000 75.900  0.075 0.051 0.100
1 3 6.6882e+00  0.000 0.000 75.900  -3.694 -5.242 -1.900
3 5 2.5209e+01  -3.694 -5.242 74.000  -13.922 -19.758 -7.161
5 1 1.2759e+01  -17.616 -25.000 66.839  -7.046 -10.000 -3.625
1 1 1.1254e-01  0.000 0.000 75.900  0.051 0.004 0.100
1 1 1.1799e-01  0.000 0.000 75.900  0.032 -0.054 0.100
1 1 2.0932e-01  0.000 0.000 75.900  0.130 0.130 0.100
1 3 2.3964e+00  0.000 0.000 75.900  1.458 0.092 -1.900
3 5 1.5766e+01  1.458 0.092 74.000  9.589 0.608 -12.500
5 9 1.4505e+01  11.046 0.700 61.500  8.822 0.559 -11.500
9 17 2.3235e+01  19.868 1.259 50.000  14.132 0.896 -18.422
17 1 1.6442e+00  34.000 2.155 31.578  1.000 0.063 -1.304
1 1 8.9522e-01  0.000 0.000 75.900  0.758 -0.465 0.100
1 3 2.2543e+00  0.000 0.000 75.900  1.087 0.539 -1.900
3 5 1.4831e+01  1.087 0.539 74.000  7.151 3.546 -12.500
5 9 1.3644e+01  8.238 4.085 61.500  6.579 3.262 -11.500
9 17 3.1441e+01  14.816 7.347 50.000  15.159 7.517 -26.500
17 65 5.9323e+00  29.976 14.864 23.500  2.860 1.418 -5.000
65 64 4.6962e+00  32.836 16.282 18.500  2.264 1.123 -3.958
1 3 3.2129e+00  0.000 0.000 75.900  2.591 -0.023 -1.900
3 5 2.1138e+01  2.591 -0.023 74.000  17.045 -0.154 -12.500
5 1 1.9054e+01  19.636 -0.177 61.500  15.364 -0.139 -11.268
1 1 1.0762e-01  0.000 0.000 75.900  0.015 0.037 0.100
1 1 1.2789e-01  0.000 0.000 75.900  -0.065 0.046 0.100
1 3 8.4973e+00  0.000 0.000 75.900  -6.310 -5.365 -1.900
3 5 2.5170e+01  -6.310 -5.365 74.000  -18.690 -15.891 -5.628
5 1 1.3467e+01  -25.000 -21.256 68.372  -10.000 -8.502 -3.011
1 1 4.0861e-01  0.000 0.000 75.900  0.344 -0.197 0.100
1 3 2.5911e+00  0.000 0.000 75.900  1.204 1.286 -1.900
3 5 1.7047e+01  1.204 1.286 74.000  7.923 8.460 -12.500
5 9 1.5683e+01  9.127 9.746 61.500  7.289 7.784 -11.500
9 17 3.3185e+01  16.416 17.530 50.000  15.423 16.470 -24.334
17 1 2.0149e+00  31.839 34.000 25.666  0.936 1.000 -1.477
1 1 4.3436e+01  0.000 0.000 75.900  25.723 -35.000 -0.161
1 3 4.4614e+00  0.000 0.000 75.900  0.686 3.978 -1.900
3 5 2.3577e+01  0.686 3.978 74.000  3.623 21.022 -10.041
5 1 1.1215e+01  4.309 25.000 63.959  1.723 10.000 -4.776
1 1 1.7661e-01  0.000 0.000 75.900  0.058 0.134 0.100
1 1 6.7517e-01  0.000 0.000 75.900  -0.162 0.648 0.100
1 3 9.2945e+00  0.000 0.000 75.900  -8.500 3.721 -0.543
3 1 2.8977e+01  -8.500 3.721 75.357  -26.500 11.600 -1.692
1 3 2.3418e+00  0.000 0.000 75.900  0.551 1.253 -1.900
3 5 1.5407e+01  0.551 1.253 74.000  3.628 8.243 -12.500
5 9 1.4174e+01  4.180 9.497 61.500  3.338 7.584 -11.500
9 17 3.1622e+01  7.518 17.081 50.000  7.447 16.919 -25.656
17 1 1.8690e+00  14.964 34.000 24.344  0.440 1.000 -1.516
1 3 4.3164e+00  0.000 0.000 75.900  3.161 2.243 -1.900
3 5 2.8397e+01  3.161 2.243 74.000  20.794 14.758 -12.500
5 1 1.5085e+01  23.954 17.001 61.500  11.046 7.840 -6.640
1 1 2.8316e-01  0.000 0.000 75.900  0.151 0.218 0.100
1 3 2.1919e+00  0.000 0.000 75.900  -0.487 0.978 -1.900
3 5 1.4420e+01  -0.487 0.978 74.000  -3.205 6.436 -12.500
5 9 1.3267e+01  -3.692 7.414 61.500  -2.949 5.921 -11.500
9 17 3.0571e+01  -6.641 13.335 50.000  -6.795 13.644 -26.500
17 65 5.7681e+00  -13.436 26.979 23.500  -1.282 2.574 -5.000
65 64 1.2427e+01  -14.718 29.554 18.500  -2.762 5.546 -10.773
1 3 2.1253e+00  0.000 0.000 75.900  0.836 -0.456 -1.900
3 5 1.3982e+01  0.836 -0.456 74.000  5.499 -3.002 -12.500
5 9 1.2864e+01  6.334 -3.459 61.500  5.059 -2.762 -11.500
9 17 2.9642e+01  11.393 -6.221 50.000  11.657 -6.365 -26.500
17 33 4.9573e+00  23.050 -12.586 23.500  1.950 -1.064 -4.432
33 65 6.3558e-01  25.000 -13.650 19.068  0.250 -0.136 -0.568
65 64 2.0694e+01  25.250 -13.787 18.500  8.138 -4.443 -18.500
1 3 1.0003e+01  0.000 0.000 75.900  -8.500 -5.139 -1.183
3 5 1.9417e+01  -8.500 -5.139 74.717  -16.500 -9.975 -2.296
5 1 1.1768e+01  -25.000 -15.114 72.422  -10.000 -6.046 -1.391
1 1 3.5633e-01  0.000 0.000 75.900  -0.326 0.104 0.100
1 1 1.1204e-01  0.000 0.000 75.900  0.023 0.045 0.100
1 3 4.0653e+00  0.000 0.000 75.900  -1.008 3.450 -1.900
3 5 2.5396e+01  -1.008 3.450 74.000  -6.297 21.550 -11.869
5 1 1.1784e+01  -7.306 25.000 62.131  -2.922 10.000 -5.508
1 1 1.5715e-01  0.000 0.000 75.900  -0.103 -0.064 0.100
1 1 2.2086e-01  0.000 0.000 75.900  0.194 -0.033 0.100
1 1 2.0260e-01  0.000 0.000 75.900  0.117 -0.132 0.100
1 3 2.8069e+00  0.000 0.000 75.900  -2.066 -0.046 -1.900
3 5 1.8466e+01  -2.066 -0.046 74.000  -13.589 -0.305 -12.500
5 9 1.1341e+01  -15.654 -0.352 61.500  -8.346 -0.188 -7.677
9 1 1.4948e+01  -24.000 -0.539 53.823  -11.000 -0.247 -10.119
1 1 1.2051e-01  0.000 0.000 75.900  0.067 -0.000 0.100
1 3 6.6198e+00  0.000 0.000 75.900  4.085 -4.851 -1.900
3 5 2.7499e+01  4.085 -4.851 74.000  16.968 -20.149 -7.893
5 1 1.3648e+01  21.052 -25.000 66.107  8.421 -10.000 -3.917
1 3 5.8640e+00  0.000 0.000 75.900  4.551 3.173 -1.900
3 5 2.6349e+01  4.551 3.173 74.000  20.449 14.255 -8.537
5 1 1.2885e+01  25.000 17.428 65.463  10.000 6.971 -4.175
1 1 1.0856e-01  0.000 0.000 75.900  0.041 -0.010 0.100
